,City,Price range,Average price
1304,Kapurthala,-,-
1305,Bagalkot,-,-
1306,Barwani,-,-
1307,Khargone,-,-
1308,Vyara,-,-
1309,Chittaranjan,-,-
1310,Mancherial,"1,000 - 12,000 / sqft","12,000 / sqft"
1311,Jagtial,-,-
1312,Jorhat,-,-
1313,Narsinghpur,-,-
1314,Nagarkurnool,-,-
1315,Harda,-,-
1316,Agar,833 - 899 / sqft,899 / sqft
1317,Seoni,-,-
1318,Dahod,-,-
1319,Shajapur,-,-
1320,Shahdol,-,-
1321,Hoshiarpur,-,-
1322,Wanaparthy,-,-
1323,Jhalawar,-,-
1324,Sawai Madhopur,-,-
1325,Tikamgarh,-,-
1326,Alirajpur,-,-
1327,Balaghat,-,-
1328,Ramanagara,-,-
1329,Panchmahal,-,-
1330,Mandla,-,-
1331,Tenkasi,191 / sqft,191.24 / sqft
1332,Chittorgarh,-,-
1333,Jhabua,-,-
1334,Virudhunagar,"1,399 - 1,500 / sqft","1,483.67 / sqft"
1335,Mandi,-,-
1336,Koppal,"1,000 / sqft","1,000 / sqft"
1337,North Tripura,-,-
1338,Uttara Kannada,-,-
1339,Gir Somnath,-,-
1340,Thiruvarur,-,-
1341,Jogulamba Gadwal,-,-
1342,Bhadradri Kothagudem,"3,917 - 4,167 / sqft","4,166.67 / sqft"
1343,Muktsar,-,-
1344,Mansa,-,-
1345,Rajanna Sircilla,-,-
1346,Sabarkantha,-,-
1347,Tirupathur,"15,888 / sqft","15,887.85 / sqft"
1348,Tiruchirapalli,"167 - 1,667 / sqft","1,666.67 / sqft"
1349,Nagapattinam,-,-
1350,Umaria,-,-
1351,Lalitpur,-,-
1352,Mayiladuthurai,425 / sqft,425 / sqft
1353,Ariyalur,-,-
1354,Kallakurichi,-,-
1355,Ramanathapuram,-,-
1356,Ahmedabad,"600 - 35,000 / sqft","17,733.93 / sqft"
1357,Bangalore,"600 - 70,000 / sqft","21,984.73 / sqft"
1358,Chennai,"645 - 26,660 / sqft","17,390.63 / sqft"
1359,Delhi,"600 - 1,96,524 / sqft","1,46,497.57 / sqft"
1360,Ghaziabad,"1,333 - 12,500 / sqft","10,145.74 / sqft"
1361,Gurgaon,"1,133 - 77,075 / sqft","35,520.69 / sqft"
1362,Hyderabad,"618 - 1,28,000 / sqft","33,418.74 / sqft"
1363,Indore,"800 - 92,500 / sqft","53,181.88 / sqft"
1364,Kolkata,"600 - 31,440 / sqft","15,90.75 / sqft"
1365,Mumbai,"1,249 - 1,75,342 / sqft","75,52.65 / sqft"
1366,Noida,"615 - 33,750 / sqft","13,640.75 / sqft"
1367,Pune,"1,250 - 21,875 / sqft","14,611.64 / sqft"
1368,Jalandhar,"650 - 6,250 / sqft","4,15.45 / sqft"
1369,Lucknow,"741 - 22,703 / sqft","8,64.78 / sqft"
1370,Chandigarh,"1,275 - 36,846 / sqft","19,235.88 / sqft"
1371,Nagpur,"2,308 - 14,286 / sqft","8,474.07 / sqft"
1372,Coimbatore,"1,841 - 6,818 / sqft","5,191.16 / sqft"
1373,Goa,"767 - 6,000 / sqft","4,771.08 / sqft"
1374,Jaipur,"1,250 - 11,111 / sqft","7,74.9 / sqft"
1375,Trivandrum,-,-
1376,Kochi,"3,071 - 9,090 / sqft","6,686.49 / sqft"
1377,Bhubaneswar,"1,450 - 9,090 / sqft","8,642.7 / sqft"
1378,Puri,"3,333 / sqft","3,333.33 / sqft"
1379,Bhopal,"1,700 - 8,888 / sqft","3,817.94 / sqft"
1380,Nashik,"3,463 - 7,269 / sqft","4,751.07 / sqft"
1381,Mysore,"3,250 - 6,750 / sqft","4,892.59 / sqft"
1382,Dehradun,"1,667 - 7,692 / sqft","5,732.08 / sqft"
1383,Vadodara,"900 - 6,923 / sqft","5,323.96 / sqft"
1384,Mangalore,"2,294 - 4,884 / sqft","3,588.65 / sqft"
1385,Surat,"1,615 - 16,296 / sqft","6,288.67 / sqft"
1386,Visakhapatnam,"3,327 - 10,870 / sqft","8,917.93 / sqft"
1387,Anand,"3,286 / sqft","3,285.71 / sqft"
1388,Madurai,"1,167 - 9,000 / sqft","6,324.91 / sqft"
1389,Patna,"3,774 - 11,000 / sqft","5,840.07 / sqft"
1390,Trichy,"1,923 / sqft","1,923.08 / sqft"
1391,Agra,"2,000 - 7,778 / sqft","4,350.56 / sqft"
1392,Pondicherry,-,-
1393,Shimla,"3,000 - 8,529 / sqft","6,447.88 / sqft"
1394,Kozhikode,"1,070 - 10,000 / sqft","5,535.17 / sqft"
1395,Kanpur,"2,151 - 5,647 / sqft","4,951.46 / sqft"
1396,Meerut,"1,824 - 6,750 / sqft","3,888.44 / sqft"
1397,Ranchi,"1,000 - 26,000 / sqft","8,398.62 / sqft"
1398,Vellore,"2,542 - 3,667 / sqft","3,104.17 / sqft"
1399,Allahabad,"3,040 - 4,656 / sqft","4,392.58 / sqft"
1400,Gwalior,"2,700 - 4,211 / sqft","3,455.26 / sqft"
1401,Haridwar,"2,151 - 3,522 / sqft","3,173.64 / sqft"
1402,Kannur,"3,000 / sqft","3,000 / sqft"
1403,Varanasi,"3,529 - 27,143 / sqft","7,432.19 / sqft"
1404,Vijayawada,"2,592 - 7,407 / sqft","5,777.13 / sqft"
1405,Aurangabad,"8,333 / sqft","8,333.33 / sqft"
1406,Guwahati,"3,599 - 9,000 / sqft","6,000 / sqft"
1407,Jabalpur,"1,857 - 2,100 / sqft","2,93.33 / sqft"
1408,Jodhpur,"6,923 / sqft","6,923.08 / sqft"
1409,Kolhapur,"5,861 - 6,084 / sqft","6,83.65 / sqft"
1410,Nainital,"3,271 - 5,548 / sqft","4,284.63 / sqft"
